scope,rank,candidate_id,component_type,layer,head,recovery,recovery_ci_low,recovery_ci_high,positive_concept_count
discovery,1,layer_11.mlp,mlp,11,,0.2973683003965076,0.28634582846992906,0.30824096010606367,4
discovery,2,layer_11.head_08,attention_head,11,8,0.24893415107897304,0.2385609168022521,0.2588465971351064,4
discovery,3,layer_10.head_12,attention_head,10,12,0.16807256288562056,0.1615552308740105,0.17451633992903384,3
discovery,4,layer_11.head_09,attention_head,11,9,0.0944215281056862,0.09102990281222707,0.09790588857716141,4
discovery,5,layer_12.mlp,mlp,12,,0.09377571668121126,0.08590469793989977,0.10186111442894541,4
discovery,6,layer_10.mlp,mlp,10,,0.07061958788304556,0.06525831094773266,0.07611894755117611,3
discovery,7,layer_10.head_02,attention_head,10,2,0.046474244709584014,0.0443530269368676,0.04869867366023512,3
discovery,8,layer_09.head_11,attention_head,9,11,0.04389306966718713,0.04174013521523571,0.04612260698820414,4
discovery,9,layer_12.head_12,attention_head,12,12,0.033419066884252,0.031771068806747044,0.03516978594334422,4
discovery,10,layer_09.mlp,mlp,9,,0.03315863273238613,0.030924275206048835,0.03553935599519628,4
discovery,11,layer_12.head_03,attention_head,12,3,0.03281024226267365,0.03142834362894406,0.03419942521721833,4
discovery,12,layer_09.head_04,attention_head,9,4,0.02767791077678585,0.024596612407748415,0.030784062615301477,3
discovery,13,layer_11.head_14,attention_head,11,14,0.024842666931341968,0.023174066330962143,0.026542120504930336,3
discovery,14,layer_12.head_01,attention_head,12,1,0.016907280675521493,0.016015980089902817,0.017843285301801293,2
discovery,15,layer_12.head_02,attention_head,12,2,0.015351082434791417,0.014297257097995624,0.01643589488349623,3
discovery,16,layer_09.head_13,attention_head,9,13,0.012696317959898538,0.011802161533307631,0.013709592216915664,4
discovery,17,layer_11.head_15,attention_head,11,15,0.011921524325409018,0.009130279773717307,0.015120869998062593,3
discovery,18,layer_09.head_12,attention_head,9,12,0.01131578637730151,0.010526387132910743,0.01211233733481966,4
discovery,19,layer_10.head_11,attention_head,10,11,0.010793417130758041,0.01022804968561952,0.011371885592781808,4
discovery,20,layer_12.head_06,attention_head,12,6,0.010398135188726513,0.009854365997399687,0.01098189846807205,3
discovery,21,layer_12.head_11,attention_head,12,11,0.005303630291676295,0.004603136530796807,0.005990813932952493,3
discovery,22,layer_12.head_09,attention_head,12,9,0.005216267797765817,0.004374024670142658,0.006073851964849705,2
discovery,23,layer_11.head_13,attention_head,11,13,0.003843126452956426,0.003634847606800397,0.0040552270517761994,4
discovery,24,layer_11.head_10,attention_head,11,10,0.003168140566522584,0.002861119634467698,0.003498136969028205,3
discovery,25,layer_11.head_03,attention_head,11,3,0.0028690089362618043,0.002560107383181152,0.0031803779217560503,4
discovery,26,layer_11.head_04,attention_head,11,4,0.0026022243967322887,0.002358719291439511,0.0028523391461818203,2
discovery,27,layer_12.head_05,attention_head,12,5,0.00250894447004432,0.002176987191181832,0.0028334580906995196,4
discovery,28,layer_11.head_06,attention_head,11,6,0.002123373224637015,0.0018811238323238116,0.0023657590175646037,3
discovery,29,layer_12.head_04,attention_head,12,4,0.0020958536817554854,0.0017284668423542045,0.0024662267383788322,4
discovery,30,layer_11.head_07,attention_head,11,7,0.0018869058180709468,0.0017480920265040404,0.0020282922276426635,3
discovery,31,layer_09.head_15,attention_head,9,15,0.001838548460005195,0.001594869395398239,0.0020897397328543074,4
discovery,32,layer_12.head_08,attention_head,12,8,0.001550473344269253,0.000899988659651256,0.002209369939928855,2
discovery,33,layer_10.head_04,attention_head,10,4,0.0014766581656038367,0.001333976910309219,0.0016248075088204986,2
discovery,34,layer_10.head_15,attention_head,10,15,0.0014677906660926351,0.001070765569043569,0.0018872197684601853,3
discovery,35,layer_11.head_02,attention_head,11,2,0.001381727259752055,0.0010889827825462661,0.0016947144452882756,3
